income,age,sex,employment,education
40000,49,Male,Employee of a private for profit,Bachelor's degree
16000,34,Male,Employee of a private for profit,no high school diploma
145000,44,Female,Private not-for-profit employee,Bachelor's degree
20000,23,Female,Employee of a private for profit,"some college credit, no degree"
120000,27,Male,Employee of a private for profit,no high school diploma
44600,44,Male,Employee of a private for profit,GED or alternative credential
28000,48,Female,Employee of a private for profit,GED or alternative credential
60000,38,Female,Private not-for-profit employee,Doctorate degree
145000,45,Male,Employee of a private for profit,"some college credit, no degree"
40000,39,Female,Employee of a private for profit,"some college credit, no degree"
22000,23,Male,Employee of a private for profit,no high school diploma
58000,48,Male,Employee of a private for profit,"some college credit, no degree"
20000,32,Female,Employee of a private for profit,Regular high school diploma
40000,27,Male,Private not-for-profit employee,Master's degree
18900,25,Female,Employee of a private for profit,"some college credit, no degree"
33000,26,Female,Local government employee,Associate's degree
42000,23,Female,Employee of a private for profit,Bachelor's degree
90000,39,Female,Employee of a private for profit,Bachelor's degree
37000,36,Female,Employee of a private for profit,Regular high school diploma
43000,31,Female,Local government employee,Associate's degree
85000,28,Male,Employee of a private for profit,"some college credit, no degree"
48000,42,Male,Local government employee,"some college credit, no degree"
56000,36,Male,State government employee,Bachelor's degree
26000,26,Male,Employee of a private for profit,Regular high school diploma
35000,32,Female,Private not-for-profit employee,"some college credit, no degree"
1.00E+05,40,Female,Self employed not incorporated,Master's degree
68100,46,Male,Employee of a private for profit,Master's degree
163000,50,Male,Employee of a private for profit,Bachelor's degree
45000,27,Female,Employee of a private for profit,Bachelor's degree
114000,36,Male,Employee of a private for profit,Master's degree
44000,44,Male,Employee of a private for profit,"some college credit, no degree"
48000,41,Male,Employee of a private for profit,Professional degree
80000,32,Female,Employee of a private for profit,Bachelor's degree
45000,48,Male,Employee of a private for profit,"some college credit, no degree"
46500,35,Male,Private not-for-profit employee,Bachelor's degree
1.00E+05,32,Male,Employee of a private for profit,Bachelor's degree
38000,37,Male,State government employee,Regular high school diploma
75150,35,Female,Employee of a private for profit,"some college credit, no degree"
80000,29,Male,Employee of a private for profit,"some college credit, no degree"
19000,25,Male,Employee of a private for profit,Regular high school diploma
10000,23,Female,Employee of a private for profit,Bachelor's degree
35000,34,Male,Employee of a private for profit,"some college credit, no degree"
6000,47,Male,Self employed not incorporated,Bachelor's degree
102000,46,Female,Employee of a private for profit,"some college credit, no degree"
1.00E+05,47,Male,Employee of a private for profit,Regular high school diploma
75000,35,Female,Local government employee,Master's degree
38000,25,Male,Employee of a private for profit,Bachelor's degree
32000,41,Female,Employee of a private for profit,Associate's degree
50000,50,Male,Employee of a private for profit,"some college credit, no degree"
17100,39,Male,Employee of a private for profit,no high school diploma
40000,29,Male,Private not-for-profit employee,Regular high school diploma
50000,48,Female,Self employed incorporated,Associate's degree
110000,49,Male,Private not-for-profit employee,Bachelor's degree
39100,26,Male,Employee of a private for profit,Bachelor's degree
170000,45,Female,Private not-for-profit employee,Bachelor's degree
10000,22,Female,Employee of a private for profit,"some college credit, no degree"
23200,21,Female,Local government employee,"some college credit, no degree"
44000,29,Female,Local government employee,Master's degree
113000,27,Female,Employee of a private for profit,Professional degree
25100,35,Female,Self employed not incorporated,Professional degree
1.00E+05,44,Male,Employee of a private for profit,Master's degree
140000,47,Male,Local government employee,Bachelor's degree
44000,36,Male,Federal government employee,Associate's degree
60000,31,Male,Local government employee,Regular high school diploma
40000,40,Male,Employee of a private for profit,"some college credit, no degree"
52000,27,Female,Employee of a private for profit,Professional degree
45000,25,Male,Employee of a private for profit,Bachelor's degree
25000,21,Male,Employee of a private for profit,Regular high school diploma
70000,43,Female,Private not-for-profit employee,Doctorate degree
38000,24,Male,Employee of a private for profit,Bachelor's degree
20000,32,Male,Employee of a private for profit,Regular high school diploma
40000,37,Male,Employee of a private for profit,Regular high school diploma
24000,27,Female,Employee of a private for profit,no high school diploma
50000,32,Male,Employee of a private for profit,Regular high school diploma
1.00E+05,35,Male,Employee of a private for profit,Bachelor's degree
144040,50,Male,Employee of a private for profit,Master's degree
60000,32,Male,Employee of a private for profit,no high school diploma
75000,47,Female,Private not-for-profit employee,Master's degree
45000,43,Female,Local government employee,Bachelor's degree
95000,28,Male,Employee of a private for profit,"some college credit, no degree"
1.00E+05,50,Male,Local government employee,Associate's degree
70000,34,Male,Employee of a private for profit,Bachelor's degree
20000,32,Male,Self employed not incorporated,Bachelor's degree
125000,39,Female,Employee of a private for profit,Bachelor's degree
1.00E+05,25,Male,Private not-for-profit employee,Bachelor's degree
20000,42,Male,Employee of a private for profit,no high school diploma
34000,33,Female,State government employee,Master's degree
42000,33,Female,State government employee,GED or alternative credential
15000,21,Male,Employee of a private for profit,"some college credit, no degree"
50000,29,Male,Employee of a private for profit,Bachelor's degree
45000,26,Male,Employee of a private for profit,Bachelor's degree
106000,37,Female,State government employee,Professional degree
44000,25,Female,Employee of a private for profit,Bachelor's degree
17000,46,Male,Employee of a private for profit,GED or alternative credential
40000,30,Male,Private not-for-profit employee,Doctorate degree
144000,49,Female,Self employed incorporated,Associate's degree
10000,24,Female,Employee of a private for profit,Bachelor's degree
30000,29,Male,Employee of a private for profit,"some college credit, no degree"
21000,26,Female,State government employee,Associate's degree
